<Congress of Industrial Organizations Political Action Committee, ORGANIZATION>
<House of Representatives, ORGANIZATION>
<democratic, ORGANIZATION>
<Jack Kroll, PERSON>
<Doland, PERSON>
<John Shelley, PERSON>
<Truman Administration, ORGANIZATION>
<Barry Goldwater, PERSON>
<Lyndon B. Johnson, PERSON>
<Kennedys, PERSON>
<Nancy, PERSON>
<JFK, LOCATION>
<Washington, LOCATION>
<Hubert Humphrey III, PERSON>
<Rudy Perpich, PERSON>
<Democratic National Convention, ORGANIZATION>
<Louisiana, LOCATION>
<Encyclopedia Britannica Educational Corporation, ORGANIZATION>
<Gerald Ford, PERSON>
<Robert Byrd, PERSON>
<George McGovern, PERSON>
<California, LOCATION>
<Mississippi, LOCATION>
<Thomas E. Dewey, PERSON>
<DFL, ORGANIZATION>
<New York, LOCATION>
<Minnesota, LOCATION>
<David Lawrence, PERSON>
<A.F. Whitney, ORGANIZATION>
<Franklin D. Roosevelt, PERSON>
<U.S. Senate, ORGANIZATION>
<New Hampshire, LOCATION>
<Jimmy Carter, PERSON>
<Mr. Nixon, PERSON>
<Ragnild Kristine Sannes, PERSON>
<Jacob Arvey, PERSON>
<South Dakota, LOCATION>
<Eugene McCarthy, PERSON>
<George Wallace, PERSON>
<Thomas Dodd, PERSON>
<Alpha Phi Alpha, ORGANIZATION>
<Congregationalist, ORGANIZATION>
<Chevy Chase, LOCATION>
<National Peace Agency, ORGANIZATION>
<District of Columbia, ORGANIZATION>
<Humphrey, ORGANIZATION>
<Johnny Carson, PERSON>
<Illinois, LOCATION>
<Indiana, LOCATION>
<Minnesota Democratic-Farmer-Labor Party and Americans for Democratic Action, ORGANIZATION>
<Richard Nixon, PERSON>
<Huron College, ORGANIZATION>
<Soviet Union, LOCATION>
<Communist Party, ORGANIZATION>
<Walter Mondale, PERSON>
<Alabama, LOCATION>
<Ed Flynn, PERSON>
<Chicago, LOCATION>
<Works Progress Administration, ORGANIZATION>
<Joseph H. Ball, PERSON>
<John F. Kennedy, PERSON>
<Protestant, ORGANIZATION>
<War Manpower Commission, ORGANIZATION>
<JFK, ORGANIZATION>
<Ohio, LOCATION>
<Vietnam, LOCATION>
<Max Brown, PERSON>
<Capitol College of Pharmacy, ORGANIZATION>
<United States Capitol, LOCATION>
<Ed Muskie, PERSON>
<Waverly, LOCATION>
<Federal Reserve Board, ORGANIZATION>
<Pittsburgh, LOCATION>
<Florida, LOCATION>
<Minnesota Communists, ORGANIZATION>
<American, LOCATION>
<South Carolina, LOCATION>
<New Hampshire, ORGANIZATION>
<Frank Sinatra, PERSON>
<Humphrey, LOCATION>
<United States Postal Service, ORGANIZATION>
<Augustus Hawkins, PERSON>
<Tom Lehrer, PERSON>
<Civil Rights Program, ORGANIZATION>
<Clark MacGregor, PERSON>
<Muriel Humphrey Brown, PERSON>
<Hubert Horatio Humphrey, PERSON>
<Minnesota State Capitol, ORGANIZATION>
<St. Paul, LOCATION>
<Strom Thurmond, PERSON>
<Congressional Gold Medal, ORGANIZATION>
<Minneapolis City Hall, LOCATION>
<Colorado, LOCATION>
<Roman Catholic, ORGANIZATION>
<Select Committee on Disarmament, ORGANIZATION>
<Peace Corps Volunteers, ORGANIZATION>
<Jr., PERSON>
<Norwegian, LOCATION>
<Muriel Buck, PERSON>
<West Virginia, LOCATION>
<Bronx, LOCATION>
<Harry S Truman, PERSON>
<Southern Democrats, ORGANIZATION>
<Macalester College, ORGANIZATION>
<D.C., LOCATION>
<Denver, LOCATION>
<Jr., LOCATION>
<University of Michigan, ORGANIZATION>
<Miami Beach, LOCATION>
<Connecticut, LOCATION>
<Republican, ORGANIZATION>
<Russell B. Long, PERSON>
<Happy Warrior, ORGANIZATION>
<Ivy League, ORGANIZATION>
<Texas, LOCATION>
<Johnson Administration, ORGANIZATION>
<U.S., LOCATION>
<Maryland, LOCATION>
<University of Minnesota, ORGANIZATION>
<Louisiana State University, ORGANIZATION>
<David McCullough, PERSON>
<Arizona, LOCATION>
<Martin Luther King, PERSON>
<Farmer-Labor, ORGANIZATION>
<Pennsylvania, LOCATION>
<Paul Douglas, PERSON>
<Lakewood, LOCATION>
<Doland, LOCATION>
<American Federation of Teachers, ORGANIZATION>
<Air Force, ORGANIZATION>
<Wallace, LOCATION>
<Northern Democrats, ORGANIZATION>
<Robert F. Kennedy, PERSON>
<Huron, LOCATION>
<Presidential Medal of Freedom, ORGANIZATION>
<Wisconsin Primary, LOCATION>
<NUM, ORGANIZATION>
<Michael White, PERSON>
<Sarajevo, LOCATION>
