<0, Joseph Mallord William Turner, PERSON>
<1, James, PERSON>
<2, Annie Besant, PERSON>
<3, Republican Party, ORGANIZATION>
<4, Arabia Lawrence, PERSON>
<5, Aaron Burr, PERSON>
<6, Peter Sutcliffe, PERSON>
<7, Senate, ORGANIZATION>
<8, Harold Macmillan, PERSON>
<9, Mount Holyoke Seminary and College, ORGANIZATION>
<10, Clarence Darrow, PERSON>
<11, Cyrus, PERSON>
<12, senate, ORGANIZATION>
<13, Adam Smith, PERSON>
<14, St. Martin, PERSON>
<15, George Boyer Vashon, PERSON>
<16, Supreme Court, ORGANIZATION>
<17, Samuel Pepys, PERSON>
<18, Cleopatra VI, ORGANIZATION>
<19, Mary Sidney, PERSON>
<20, Hans Christian Andersen, PERSON>
<21, Louisa Catherine Johnson Adams, PERSON>
<22, Henry Ford, PERSON>
<23, Noah Webster, PERSON>
<24, Malcolm X. Mr. Carter, PERSON>
<25, George Clemenceau, PERSON>
<26, Betsy Ross, PERSON>
<27, Josiah Wedgwood, PERSON>
<28, Protestant Reformation, ORGANIZATION>
<29, Ralph Johnson Bunche, PERSON>
<30, Frances Folsom Cleveland, ORGANIZATION>
<31, Winfield Scott Hancock, PERSON>
<32, Christopher Wren, PERSON>
<33, Billy, PERSON>
<34, William of Orange, ORGANIZATION>
<35, Queen Victoria, PERSON>
<36, John Wesley Hardin, PERSON>
<37, Konrad Adenauer, PERSON>
<38, Robert Walpole, PERSON>
<39, John Mercer Langston, PERSON>
<40, Mohandas Karanchand Gandhi, PERSON>
<41, Marian Anderson Library, ORGANIZATION>
<42, Maximilien Marie Isidore de Robespierre, PERSON>
<43, Harry S Truman, PERSON>
<44, Galileo Galilei, ORGANIZATION>
<45, Elizabeth Blackwell, PERSON>
<46, Julius Caesar, PERSON>
<47, Bible, ORGANIZATION>
<48, James II, PERSON>
<49, Mary Stuart, PERSON>
<50, Greg Boyington, PERSON>
<51, David J. Peck, PERSON>
<52, Henry V. He, PERSON>
<53, Tories, ORGANIZATION>
<54, George VI, PERSON>
<55, Tiberius Claudius Nero, PERSON>
<56, Douglas Bader, PERSON>
<57, John Wesley Culp, PERSON>
<58, Ellen Craft, PERSON>
<59, George W Bush Bush, PERSON>
<60, Almanzo Wilder, PERSON>
<61, Mary Celeste, PERSON>
<62, Nikola Tesla, PERSON>
<63, Richard II Richard, PERSON>
<64, Mother Teresa, PERSON>
<65, Harry S. Truman, PERSON>
<66, Tutankhamen, PERSON>
<67, Bridget Bishop, PERSON>
<68, George II, PERSON>
