
Full Report
epoch=1900
numDocs=2478
numTokens=6091
numWords=870
numTopics=15

TOPIC 0  (total count=391)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   513          getting       22   0.055       4.4
   110             soup       16   0.040       3.5
   571             baby       14   0.035       3.5
   301        certainly       13   0.033       3.2
   517             kept       13   0.033       3.4
   523        beautiful       13   0.033       3.4
   243            close       11   0.028       2.8
   866           nearly       11   0.028       3.1
    94            sight       10   0.025       3.0
   112             sort       10   0.025       2.0
    82           wonder        9   0.023       1.9
   459             tail        9   0.023       2.8
   561             cook        9   0.023       2.3
   654           butter        9   0.023       2.8
   370             size        8   0.020       2.0
   435           pepper        8   0.020       2.6
   273            bread        7   0.018       2.5
   280              soo        7   0.018       2.5
   282          sitting        7   0.018       2.0
   389           others        7   0.018       2.5
   396              oop        7   0.018       2.5
   602           couldn        7   0.018       2.1
   727         hedgehog        7   0.018       2.5
    19                e        6   0.015       2.3
   255             neck        6   0.015       2.1
   335            piece        6   0.015       2.3
   585         sneezing        6   0.015       2.3
   653              ear        6   0.015       2.3
   385           prizes        5   0.013       2.1
   527              cut        5   0.013       2.1

TOPIC 1  (total count=416)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   411              old       19   0.045       4.1
   415           please       19   0.045       4.1
   702               am       16   0.038       3.7
   219            asked       14   0.033       3.1
   635        beginning       13   0.031       3.2
   637            begin       13   0.031       3.4
    97          majesty       12   0.028       3.2
   767             give       12   0.028       3.2
   442             wasn       11   0.026       3.1
   306           called       10   0.024       2.3
   774          witness       10   0.024       2.9
     3          angrily        9   0.021       2.8
   196             call        9   0.021       2.8
   251           better        8   0.019       1.9
   267          william        8   0.019       2.6
   133             song        7   0.017       2.5
   159         happened        7   0.017       2.5
   485         evidence        7   0.017       2.5
   615          shouted        7   0.017       2.1
   645            story        7   0.017       2.3
   826            tired        7   0.017       2.5
   831             kind        7   0.017       2.5
    69           indeed        6   0.014       1.2
   128            youth        6   0.014       2.3
   241        trembling        6   0.014       2.3
   564            heads        6   0.014       1.7
   601         anything        6   0.014       1.0
   632             sing        6   0.014       2.3
   741           father        6   0.014       2.3
    26              new        5   0.012       2.1

TOPIC 2  (total count=429)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
   217        something       18   0.041       3.9
   656              eat       18   0.041       3.9
   186             hear       14   0.032       3.5
   257              set       14   0.032       3.5
   430             didn       14   0.032       3.5
   507            ought       13   0.030       3.2
   136             cats       12   0.027       3.1
   135            child       11   0.025       3.1
   697            makes       11   0.025       3.1
   819          whether       11   0.025       3.1
   828              ask       11   0.025       3.1
    98           bottle       10   0.023       2.9
     8           answer        9   0.021       2.8
    82           wonder        9   0.021       1.8
   488             name        9   0.021       2.6
   606           people        9   0.021       2.2
   794          however        9   0.021       1.7
   140         question        8   0.018       1.7
   357             fact        8   0.018       2.6
   374             feel        8   0.018       2.6
   421             work        8   0.018       2.6
   107            drink        7   0.016       2.5
   112             sort        7   0.016       1.3
   232          history        7   0.016       2.5
   534          changed        7   0.016       2.3
   235           stupid        6   0.014       2.3
   557             nice        6   0.014       2.3
   663            write        6   0.014       2.3
   809              top        6   0.014       1.9
