
Full Report
epoch=1900
numDocs=2117
numTokens=35464
numWords=2785
numTopics=20

TOPIC 0  (total count=2095)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  2341        happiness       42   0.020       4.5
  2700         marriage       37   0.017       4.1
   498        affection       35   0.016       4.1
    39         possible       33   0.016       4.0
  1207         believed       32   0.015       4.9
   566        situation       31   0.015       4.7
    73           appear       30   0.014       5.2
  2749       attachment       27   0.013       4.9
  2432        character       26   0.012       2.8
   434            sorry       25   0.012       3.9
   769           almost       25   0.012       2.8
  1464           easily       24   0.011       4.3
   292             feel       23   0.011       3.3
  1176         supposed       21   0.010       3.8
  1901      immediately       21   0.010       2.3
     9           regard       20   0.009       2.4
  1934       connection       20   0.009       4.2
  2401            marry       20   0.009       2.7
  2592      expectation       19   0.009       4.1
   271         affected       18   0.008       3.9
   701           chance       18   0.008       4.0
  2542           strong       17   0.008       3.6
   500          confess       16   0.008       3.8
  1125    extraordinary       16   0.008       3.8
  1311         felicity       16   0.008       3.5
  2227         ignorant       16   0.008       3.8
  2439     acknowledged       16   0.008       3.3
   854        persuaded       15   0.007       2.7
  2259             mine       15   0.007       3.6
   268             fear       14   0.007       2.6

TOPIC 1  (total count=1616)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1574             hear       41   0.025       4.5
  1909         anything       36   0.022       3.6
  2508             take       34   0.021       3.4
  2469          married       33   0.020       3.9
   369             tell       32   0.019       3.4
   468             just       31   0.019       3.2
   897              get       28   0.017       3.6
  1247            write       25   0.015       3.7
    93             care       24   0.015       3.8
  2676              men       23   0.014       3.7
  1781             else       22   0.013       3.1
  2322            thing       22   0.013       3.1
   253           afraid       21   0.013       3.2
   435             down       21   0.013       2.1
  1519            world       21   0.013       2.2
  1546             like       21   0.013       2.0
  2092            money       20   0.012       3.6
  1344             dare       19   0.012       2.7
  2632             poor       19   0.012       2.8
   986            kitty       18   0.011       1.8
  1014             glad       18   0.011       2.7
  1074            uncle       18   0.011       1.8
  2616             send       18   0.011       3.5
    10             meet       17   0.010       2.8
  2681           nobody       17   0.010       3.9
  1461          suppose       16   0.010       2.0
  1008       determined       15   0.009       2.4
    62             pray       14   0.009       2.5
   125         yourself       14   0.009       1.7
   314             want       14   0.009       1.8

TOPIC 2  (total count=1306)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1613              sir       78   0.058       8.5
  1699         daughter       52   0.039       5.3
  1632          william       46   0.034       6.5
  1634            lucas       41   0.031       4.6
  1569       afterwards       22   0.017       3.7
  2761             kind       22   0.017       2.5
  1494           looked       19   0.014       1.9
  1930             used       19   0.014       4.0
  2390            happy       19   0.014       1.8
   494        continued       17   0.013       2.1
   589              ill       17   0.013       1.6
   393         sensible       16   0.012       2.6
  1982          husband       15   0.011       1.9
  2145     particularly       15   0.011       2.4
  2481          comfort       15   0.011       2.5
   431         whatever       14   0.011       2.2
   736         occasion       14   0.011       2.0
  1082          elegant       14   0.011       3.6
  1163              use       14   0.011       3.5
    40       especially       13   0.010       2.6
  1015      information       13   0.010       2.3
  1398         answered       13   0.010       2.0
  1411           smiled       13   0.010       2.9
  1609       compliment       13   0.010       2.4
    30     affectionate       12   0.009       2.8
  1560            words       11   0.008       1.8
  2103           except       11   0.008       2.2
  2468      compliments       11   0.008       3.2
    50          assured       10   0.008       1.7
   239           passed       10   0.008       1.0

TOPIC 3  (total count=1798)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1494           looked       41   0.022       4.3
  2111         scarcely       32   0.018       4.4
  2346           moment       30   0.016       3.2
   355            spoke       27   0.015       3.8
  2388             face       27   0.015       4.9
   513             look       26   0.014       3.1
  1151             eyes       26   0.014       3.2
  1064       admiration       25   0.014       4.7
  2510       appearance       24   0.013       3.9
    68            while       23   0.013       2.2
  2260             mind       23   0.013       2.7
  1251       expression       21   0.012       4.2
  2026             less       21   0.012       2.0
  2056             half       21   0.012       2.1
   369             tell       20   0.011       1.9
   660          whether       20   0.011       2.4
  1654      countenance       20   0.011       3.4
  2591             whom       20   0.011       1.7
   450        attention       19   0.010       1.9
  1545     astonishment       19   0.010       3.2
   783          anxious       18   0.010       3.3
  1610           talked       18   0.010       2.6
  1762        expressed       17   0.009       3.1
  1769        behaviour       17   0.009       2.0
  2073           praise       17   0.009       3.4
   320           turned       16   0.009       2.1
   614             easy       16   0.009       3.0
  1276           ladies       16   0.009       1.4
   771              eye       15   0.008       3.7
  2551          evident       15   0.008       3.3

TOPIC 4  (total count=1825)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1676             read       41   0.022       6.1
  1649          subject       40   0.022       3.9
     8           answer       36   0.019       4.1
  2310             same       33   0.018       3.5
  1574             hear       28   0.015       2.9
  2004          account       26   0.014       3.9
   119       everything       25   0.013       3.4
  1576             head       23   0.012       3.8
  1688         received       23   0.012       2.5
   383        therefore       22   0.012       2.1
  1400             told       22   0.012       2.2
   819         question       21   0.011       4.1
  1887             gave       21   0.011       2.5
  1111            ought       20   0.011       2.6
  2617             sent       20   0.011       4.2
  1465          express       19   0.010       3.6
  1753        mentioned       19   0.010       3.3
  1811             name       19   0.010       3.0
  2078           expect       19   0.010       2.9
  2189           wonder       19   0.010       3.0
  2371          between       19   0.010       2.0
  1687            wrote       18   0.010       3.7
  2302          anxiety       18   0.010       3.9
   939        different       17   0.009       2.5
  1495       understand       17   0.009       2.8
  2689        convinced       17   0.009       2.4
   781      exceedingly       16   0.009       2.9
  1422           advice       16   0.009       3.8
   964             able       15   0.008       1.7
  1358        instantly       15   0.008       2.4

TOPIC 5  (total count=2093)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  2250              nor       44   0.021       4.7
   597             knew       41   0.019       4.9
  2280            known       36   0.017       4.3
   589              ill       34   0.016       3.4
   192          against       33   0.016       4.2
  1816          neither       32   0.015       4.8
   729              far       31   0.015       3.6
   305           wishes       27   0.013       4.3
   406            since       27   0.013       3.1
   327            sense       26   0.012       4.0
  1519            world       26   0.012       2.7
  2700         marriage       26   0.012       2.7
   138          brother       25   0.012       2.3
   690           object       24   0.011       3.1
  1859            whole       23   0.011       2.1
   270             both       22   0.010       2.1
  1821          knowing       22   0.010       3.9
  2296             once       22   0.010       2.5
  2085          present       21   0.010       2.1
  2772            power       21   0.010       2.9
   431         whatever       20   0.009       3.1
  2656            least       20   0.009       2.0
   454           regret       19   0.009       4.1
   626             part       18   0.008       1.9
   907           former       18   0.008       2.6
  2659          conduct       18   0.008       3.5
  2663      consequence       18   0.008       2.8
   227            doubt       17   0.008       2.4
   317           wholly       16   0.008       2.8
   583             lost       16   0.008       2.7

TOPIC 6  (total count=1919)
SYMBOL             WORD    COUNT   PROB          Z
--------------------------------------------------
  1859            whole       42   0.022       4.2
  1688         received       37   0.019       4.3
