<French, LOCATION, 8>
<Western Digital Corp, ORGANIZATION, 6>
<Ronald Reagan, PERSON, 14>
<AMR Corp, ORGANIZATION, 6>
<U.K., LOCATION, 7>
<RMJ Holdings Corp, ORGANIZATION, 6>
<Francisco Gros, PERSON, 8>
<BankAmerica Corp, ORGANIZATION, 32>
<Federal Industries Ltd, ORGANIZATION, 8>
<Burt Sugarman, PERSON, 7>
<Computerland Corp, ORGANIZATION, 5>
<Sweden, LOCATION, 5>
<Denys Henderson, PERSON, 11>
<Continental Airlines, ORGANIZATION, 7>
<Senate, ORGANIZATION, 6>
<Beryl Sprinkel, PERSON, 8>
<West Germany, LOCATION, 36>
<Hutchison Whampoa Ltd, ORGANIZATION, 5>
<&lt; Shearson Lehman Brothers Inc, ORGANIZATION, 5>
<ICI Pharmaceuticals Group, ORGANIZATION, 7>
<Leucadia National Corp, ORGANIZATION, 8>
<Yasuhiro Nakasone, PERSON, 10>
<Bank of America, ORGANIZATION, 14>
<Mario Brodersohn, PERSON, 10>
<Burdett Publications Inc., ORGANIZATION, 5>
<Europe, LOCATION, 21>
<Central Intelligence Agency, ORGANIZATION, 6>
<Sony Corp, ORGANIZATION, 5>
<Comissaria Smith, PERSON, 6>
<NCR Corp, ORGANIZATION, 8>
<IMF, ORGANIZATION, 10>
<United Technologies Corp, ORGANIZATION, 6>
<Elliott Schlang, PERSON, 6>
<Rospatch Corp, ORGANIZATION, 7>
<Treasury Department, ORGANIZATION, 21>
<Standard and Poor 's Corp, ORGANIZATION, 10>
<Donald Regan, PERSON, 27>
<Kidder , Peabody and Co Inc, ORGANIZATION, 7>
<Waste Management Inc, ORGANIZATION, 5>
<E.F. Hutton Group Inc, ORGANIZATION, 6>
<Hong Kong, LOCATION, 28>
<TRE Corp, ORGANIZATION, 8>
<European Community Commission, ORGANIZATION, 5>
<San Francisco, LOCATION, 10>
<TVX Mining Corp, ORGANIZATION, 7>
<Reuters Holdings Plc, ORGANIZATION, 5>
<Labour Party, ORGANIZATION, 7>
<Frank Naylor, PERSON, 5>
<First Boston Corp, ORGANIZATION, 12>
<Penn Traffic Co, ORGANIZATION, 6>
<Chicago, LOCATION, 11>
<USX Corp, ORGANIZATION, 6>
<Alan Cranston, PERSON, 8>
<Occidental Life Insurance Co of Australia Ltd, ORGANIZATION, 5>
<Spencer Russell, PERSON, 5>
<Los Angeles, LOCATION, 19>
<PACCAR Inc, ORGANIZATION, 5>
<Salomon Brothers Inc., ORGANIZATION, 8>
<Bank of Japan, ORGANIZATION, 8>
<Texas Air Corp, ORGANIZATION, 6>
<Union Bank of Switzerland, ORGANIZATION, 10>
<Pittston Co, ORGANIZATION, 8>
<Westpac Banking Corp, ORGANIZATION, 8>
<&lt; National Discount Co Ltd, ORGANIZATION, 5>
<Ontario, LOCATION, 6>
<Lotus Development Corp, ORGANIZATION, 7>
<New York, LOCATION, 71>
<PACCAR Financial Corp., ORGANIZATION, 5>
<Merrill Lynch Capital Markets, ORGANIZATION, 22>
<Telecommunications Ministry, ORGANIZATION, 6>
<Paul Keating, PERSON, 8>
<Bank of England, ORGANIZATION, 35>
<Britain, LOCATION, 13>
<Continental Illinois Corp, ORGANIZATION, 6>
<Sigi Ziering, PERSON, 7>
<South Korea, LOCATION, 11>
<U.S. Embassy, ORGANIZATION, 24>
<Stuart Pharmaceuticals, ORGANIZATION, 5>
<Hongkong Electric Holdings Ltd, ORGANIZATION, 13>
<Credit Suisse First Boston Asia Ltd, ORGANIZATION, 5>
<Kuwait, LOCATION, 8>
<Moody 's Investors Service Inc, ORGANIZATION, 7>
<Portland, LOCATION, 6>
<Commodity Futures Trading Commission, ORGANIZATION, 8>
<Standard and Poor 's, ORGANIZATION, 10>
<Nigel Lawson, PERSON, 16>
<Suffield Financial Corp, ORGANIZATION, 7>
<Alcan Aluminium Ltd, ORGANIZATION, 5>
<LeRoy Pesch, PERSON, 8>
<Bank of New York Co, ORGANIZATION, 5>
<Central Bank, ORGANIZATION, 7>
<Telephone Corp, ORGANIZATION, 6>
<Sheikh Abdul-Aziz bin Khalifa al-Thani, PERSON, 6>
<Organisation for Economic Cooperation and Development, ORGANIZATION, 6>
<Salina Cruz, LOCATION, 6>
<Mexico, LOCATION, 6>
<Commodity Credit Corporation, ORGANIZATION, 6>
<Jim Leslie, PERSON, 8>
<PepsiCo Inc, ORGANIZATION, 5>
<International Monetary Fund, ORGANIZATION, 20>
<Rolls-Royce Ltd, ORGANIZATION, 5>
<Esselte Business Systems Inc, ORGANIZATION, 5>
<American Express Co, ORGANIZATION, 35>
